wavelength,x,y,z
0.0,3.68359375,0.16015625,-4.32421875
0.0005,2.6826171875,1.2412109375,-4.32421875
0.001,2.2021484375,1.921875,-4.564453125
0.0015,1.12109375,3.1630859375,-4.724609375
0.002,0.2802734375,3.8037109375,-4.3642578125
0.0025,-0.5205078125,4.1240234375,-4.00390625
0.003,-1.361328125,4.5244140625,-3.5634765625
0.0035,-2.40234375,4.564453125,-2.5625
0.004,-3.203125,4.64453125,-1.8818359375
0.0045,-4.32421875,4.8447265625,-0.9208984375
0.005,-4.5244140625,4.1240234375,0.0
0.0055,-4.884765625,4.00390625,0.4404296875
0.006,-4.884765625,3.04296875,1.4013671875
0.0065,-4.884765625,2.40234375,2.001953125
0.007,-4.884765625,1.4013671875,3.0029296875
0.0075,-4.8447265625,0.6005859375,3.763671875
0.008,-4.083984375,-0.5205078125,4.0439453125
0.0085,-3.923828125,-1.2412109375,4.484375
0.009,-2.7626953125,-2.40234375,4.484375
0.0095,-2.2822265625,-3.04296875,4.6044921875
0.01,-1.2412109375,-4.2041015625,4.724609375
0.0105,-0.3203125,-4.564453125,4.2041015625
0.011,0.3603515625,-5.0048828125,3.9638671875
0.0115,1.361328125,-5.28515625,3.2431640625
0.012,2.322265625,-5.3251953125,2.3623046875
0.0125,3.1630859375,-5.4052734375,1.5615234375
0.013,4.1640625,-5.4853515625,0.6806640625
0.0135,4.32421875,-4.64453125,-0.2001953125
0.014,4.724609375,-4.564453125,-0.6806640625
0.0145,4.64453125,-3.443359375,-1.8017578125
0.015,4.6845703125,-2.8427734375,-2.4423828125
0.0155,4.64453125,-1.681640625,-3.4833984375
0.016,4.484375,-0.80078125,-4.1640625
0.0165,3.68359375,0.2802734375,-4.4443359375
0.017,3.4033203125,1.0009765625,-4.884765625
0.0175,2.1220703125,2.2421875,-4.8447265625
0.018,1.5615234375,2.962890625,-4.884765625
0.0185,0.5205078125,4.083984375,-4.884765625
0.019,-0.5205078125,4.404296875,-4.244140625
0.0195,-1.201171875,4.7646484375,-3.923828125
0.02,-2.40234375,5.044921875,-3.0029296875
0.0205,-3.36328125,5.044921875,-2.001953125
0.021,-4.1240234375,4.9248046875,-1.201171875
0.0215,-4.96484375,4.9248046875,-0.3603515625
0.022,-5.0048828125,4.00390625,0.560546875
0.0225,-5.28515625,3.8037109375,1.041015625
0.023,-5.205078125,2.5224609375,2.2421875
0.0235,-5.1650390625,1.8818359375,2.8427734375
0.024,-5.0849609375,0.7607421875,3.8037109375
0.0245,-4.6845703125,-0.2001953125,4.32421875
0.025,-3.923828125,-1.28125,4.5244140625
0.0255,-3.443359375,-2.08203125,4.8046875
0.026,-2.2421875,-3.2431640625,4.8447265625
0.0265,-1.6015625,-3.84375,4.7646484375
0.027,-0.6005859375,-4.8447265625,4.724609375
0.0275,0.3603515625,-5.044921875,4.00390625
0.028,1.0009765625,-5.4052734375,3.7236328125
0.0285,2.2421875,-5.525390625,2.6025390625
0.029,3.123046875,-5.60546875,1.841796875
0.0295,3.84375,-5.365234375,0.9208984375
0.03,4.5244140625,-5.28515625,0.16015625
0.0305,4.5244140625,-4.3642578125,-0.720703125
0.031,4.8046875,-4.1640625,-1.2412109375
0.0315,4.7646484375,-2.802734375,-2.482421875
0.032,4.6845703125,-2.2421875,-2.962890625
0.0325,4.564453125,-1.1611328125,-4.00390625
0.033,4.083984375,-0.2001953125,-4.3642578125
0.0335,3.4033203125,0.7607421875,-4.64453125
0.034,2.7626953125,1.6416015625,-4.8447265625
0.0345,1.681640625,2.8828125,-4.884765625
0.035,1.0009765625,3.36328125,-4.7646484375
0.0355,0.080078125,4.32421875,-4.6845703125
0.036,-0.9609375,4.484375,-3.8837890625
0.0365,-1.6015625,4.8447265625,-3.603515625
0.037,-2.9228515625,4.9248046875,-2.40234375
0.0375,-3.7236328125,5.0048828125,-1.681640625
0.038,-4.3642578125,4.724609375,-0.720703125
0.0385,-4.9248046875,4.5244140625,0.0
0.039,-4.9248046875,3.68359375,0.80078125
0.0395,-5.0849609375,3.283203125,1.361328125
0.04,-5.125,2.0419921875,2.5625
0.0405,-4.96484375,1.3212890625,3.04296875
0.041,-4.8447265625,0.3603515625,3.923828125
0.0415,-4.1640625,-0.640625,4.1240234375
0.042,-3.6435546875,-1.44140625,4.484375
0.0425,-2.8427734375,-2.40234375,4.564453125
0.043,-1.9619140625,-3.443359375,4.724609375
0.0435,-1.1611328125,-3.923828125,4.4443359375
0.044,-0.3603515625,-4.6845703125,4.3642578125
0.0445,0.560546875,-4.8046875,3.5634765625
0.045,1.1611328125,-5.1650390625,3.3232421875
0.0455,2.5224609375,-5.205078125,2.08203125
0.046,3.123046875,-5.28515625,1.5615234375
0.0465,3.763671875,-5.0048828125,0.6005859375
0.047,4.1240234375,-4.724609375,0.0
0.0475,4.2041015625,-4.00390625,-0.7607421875
0.048,4.32421875,-3.5234375,-1.3212890625
0.0485,4.4443359375,-2.5625,-2.4423828125
0.049,4.2041015625,-1.8818359375,-2.9228515625
0.0495,4.2041015625,-1.0009765625,-3.84375
0.05,3.4033203125,0.080078125,-3.8837890625
0.0505,3.123046875,0.7607421875,-4.3642578125
0.051,2.162109375,1.8017578125,-4.3642578125
0.0515,1.5615234375,2.6826171875,-4.64453125
0.052,0.6806640625,3.1630859375,-4.244140625
0.0525,0.0,3.8837890625,-4.244140625
0.053,-0.9208984375,3.9638671875,-3.4833984375
0.0535,-1.5615234375,4.404296875,-3.1630859375
0.054,-2.8427734375,4.484375,-2.0419921875
0.0545,-3.36328125,4.484375,-1.521484375
0.055,-4.00390625,4.32421875,-0.720703125
0.0555,-4.2041015625,3.84375,-0.080078125
0.056,-4.484375,3.443359375,0.6005859375
0.0565,-4.4443359375,2.6826171875,1.28125
0.057,-4.6845703125,1.921875,2.2421875
0.0575,-4.3642578125,1.12109375,2.6826171875
0.058,-4.4443359375,0.4404296875,3.4833984375
0.0585,-3.603515625,-0.640625,3.6435546875
0.059,-3.4833984375,-1.2412109375,4.083984375
0.0595,-2.40234375,-2.322265625,4.1240234375
0.06,-1.9619140625,-3.04296875,4.32421875
0.0605,-1.0810546875,-3.5634765625,4.00390625
0.061,-0.4404296875,-4.1240234375,3.8837890625
0.0615,0.3603515625,-4.32421875,3.3232421875
0.062,1.12109375,-4.64453125,2.8828125
0.0625,2.2421875,-4.8447265625,1.9619140625
0.063,2.6826171875,-4.6845703125,1.4013671875
0.0635,3.36328125,-4.6845703125,0.7607421875
0.064,3.443359375,-4.083984375,0.080078125
0.0645,3.8037109375,-3.8837890625,-0.5205078125
0.065,3.8037109375,-3.04296875,-1.361328125
0.0655,4.083984375,-2.5224609375,-2.2021484375
0.066,3.7236328125,-1.5615234375,-2.6826171875
0.0665,3.763671875,-0.9208984375,-3.283203125
0.067,2.9228515625,0.1201171875,-3.4833984375
0.0675,2.802734375,0.640625,-3.84375
0.068,1.841796875,1.76171875,-4.00390625
0.0685,1.4013671875,2.2822265625,-4.1240234375
0.069,0.6005859375,2.9228515625,-3.923828125
0.0695,0.0,3.3232421875,-3.6435546875
0.07,-0.80078125,3.603515625,-3.203125
0.0705,-1.6416015625,3.84375,-2.5625
0.071,-2.6025390625,4.1240234375,-1.9619140625
0.0715,-2.962890625,3.84375,-1.3212890625
0.072,-3.5634765625,3.9638671875,-0.8408203125
0.0725,-3.603515625,3.3232421875,-0.16015625
0.073,-3.923828125,3.123046875,0.3203125
0.0735,-4.00390625,2.2421875,1.2412109375
0.074,-4.244140625,1.8818359375,1.8818359375
0.0745,-4.00390625,0.9609375,2.5224609375
0.075,-3.8837890625,0.400390625,3.0029296875
0.0755,-3.283203125,-0.6005859375,3.3232421875
0.076,-3.04296875,-1.201171875,3.6435546875
0.0765,-2.2822265625,-2.2421875,3.8837890625
0.077,-1.8017578125,-2.642578125,3.84375
0.0775,-1.1611328125,-3.36328125,3.8837890625
0.078,-0.48046875,-3.603515625,3.443359375
0.0785,0.240234375,-4.083984375,3.203125
0.079,1.2412109375,-4.2841796875,2.40234375
0.0795,2.0419921875,-4.564453125,1.9619140625
0.08,2.4423828125,-4.32421875,1.28125
0.0805,2.9228515625,-4.4443359375,0.9208984375
0.081,3.123046875,-3.8037109375,0.080078125
0.0815,3.36328125,-3.5634765625,-0.4404296875
0.082,3.5634765625,-2.72265625,-1.44140625
0.0825,3.68359375,-2.2822265625,-1.9619140625
0.083,3.5234375,-1.4013671875,-2.642578125
0.0835,3.203125,-0.720703125,-2.962890625
0.084,2.8427734375,0.1201171875,-3.36328125
0.0845,2.2822265625,0.880859375,-3.603515625
0.085,1.8017578125,1.76171875,-3.9638671875
0.0855,1.12109375,2.2021484375,-3.7236328125
0.086,0.6005859375,2.8427734375,-3.84375
0.0865,-0.240234375,3.04296875,-3.203125
0.087,-0.880859375,3.4833984375,-3.0029296875
