wavelength,x,y,z
0.0,0.0,-0.3203125,0.0
0.0005,0.0,-0.3203125,0.0
0.001,0.0,-0.3203125,0.0
0.0015,0.0,-0.3203125,0.0
0.002,0.0,-0.3203125,0.0
0.0025,0.0,-0.3203125,0.0
0.003,0.0,-0.3203125,0.0
0.0035,0.0,-0.3203125,0.0
0.004,0.0,-0.3203125,0.0
0.0045,-0.1201171875,-0.2802734375,0.0400390625
0.005,0.0,-0.3603515625,0.0
0.0055,0.0,-0.3603515625,0.0
0.006,0.0,-0.3203125,0.0
0.0065,-0.080078125,-0.3203125,0.0
0.007,0.0,-0.3203125,0.0
0.0075,0.0,-0.3203125,0.0
0.008,0.0,-0.3203125,0.0
0.0085,0.0,-0.3203125,0.0
0.009,0.0,-0.3203125,0.0
0.0095,0.0,-0.3203125,0.0
0.01,0.0,-0.3203125,0.0
0.0105,0.0,-0.3203125,0.0
0.011,0.0,-0.3203125,0.0
0.0115,0.0,-0.3203125,0.0
0.012,-0.1201171875,-0.3203125,0.0
0.0125,-0.2001953125,-0.4404296875,-0.0400390625
0.013,0.0,-0.3603515625,0.0
0.0135,0.0,-0.3603515625,0.0
0.014,0.0,-0.3203125,0.0
0.0145,0.0,-0.3203125,0.0
0.015,0.0,-0.3203125,0.0
0.0155,0.0,-0.3203125,0.0
0.016,0.0,-0.3203125,0.0
0.0165,0.0,-0.3203125,0.0
0.017,0.0,-0.3203125,0.0
0.0175,0.0,-0.3203125,0.0
0.018,0.0,-0.3203125,0.0
0.0185,0.0,-0.3203125,0.0
0.019,0.0,-0.3203125,0.0
0.0195,0.0,-0.3203125,0.0
0.02,0.0,-0.3203125,0.0
0.0205,0.0,-0.400390625,-0.1201171875
0.021,0.0,-0.3603515625,-0.080078125
0.0215,-0.2001953125,-0.4404296875,-0.0400390625
0.022,0.0,-0.3203125,0.0
0.0225,0.0,-0.3203125,0.0
0.023,0.0,-0.3203125,0.0
0.0235,0.0,-0.3203125,0.0
0.024,0.0,-0.3203125,0.0
0.0245,0.0,-0.3203125,0.0
0.025,0.0,-0.3203125,0.0
0.0255,0.0,-0.3203125,0.0
0.026,-0.080078125,-0.3203125,0.0
