wavelength,x,y,z
0.0,-2.1220703125,-5.125,5.365234375
0.0005,-3.36328125,-4.1240234375,5.7255859375
0.001,-4.3642578125,-3.04296875,5.8857421875
0.0015,-5.0048828125,-2.2021484375,5.8857421875
0.002,-5.205078125,-1.361328125,5.7255859375
0.0025,-5.2451171875,-0.5205078125,5.1650390625
0.003,-5.205078125,0.6005859375,4.3642578125
0.0035,-5.2451171875,1.8818359375,3.4033203125
0.004,-5.125,2.9228515625,2.482421875
0.0045,-4.9248046875,3.68359375,1.681640625
0.005,-4.4443359375,4.1240234375,0.880859375
0.0055,-3.5634765625,4.5244140625,-0.3203125
0.006,-2.72265625,4.96484375,-1.5615234375
0.0065,-1.6416015625,5.2451171875,-2.802734375
0.007,-0.9208984375,5.4453125,-3.8037109375
0.0075,-0.240234375,5.4853515625,-4.5244140625
0.008,0.8408203125,5.044921875,-5.125
0.0085,2.0419921875,4.1240234375,-5.525390625
0.009,3.2431640625,3.0029296875,-5.92578125
0.0095,4.1240234375,1.9619140625,-6.0458984375
0.01,4.6044921875,1.28125,-6.0458984375
0.0105,4.8046875,0.5205078125,-5.7255859375
0.011,4.8046875,-0.6005859375,-5.0048828125
0.0115,4.8046875,-1.6416015625,-4.2041015625
0.012,4.8046875,-2.9228515625,-3.203125
0.0125,4.6845703125,-3.8837890625,-2.322265625
0.013,4.484375,-4.564453125,-1.6015625
0.0135,3.84375,-5.044921875,-0.6806640625
0.014,2.962890625,-5.4052734375,0.560546875
0.0145,1.921875,-5.765625,1.921875
0.015,1.0009765625,-6.005859375,3.04296875
0.0155,0.3203125,-6.2861328125,3.9638671875
0.016,-0.640625,-6.1259765625,4.64453125
0.0165,-1.7216796875,-5.4052734375,5.1650390625
0.017,-2.9228515625,-4.484375,5.6455078125
0.0175,-4.1240234375,-3.283203125,5.8857421875
0.018,-4.8447265625,-2.322265625,5.92578125
0.0185,-5.1650390625,-1.6015625,5.8056640625
0.019,-5.28515625,-0.7607421875,5.365234375
0.0195,-5.205078125,0.3603515625,4.5244140625
0.02,-5.28515625,1.6015625,3.6435546875
0.0205,-5.1650390625,2.7626953125,2.6025390625
0.021,-5.0048828125,3.603515625,1.76171875
0.0215,-4.564453125,4.1240234375,1.0009765625
0.022,-3.8037109375,4.484375,0.0
0.0225,-2.8828125,4.9248046875,-1.3212890625
0.023,-1.8017578125,5.2451171875,-2.6826171875
0.0235,-1.0009765625,5.4453125,-3.7236328125
0.024,-0.2802734375,5.5654296875,-4.5244140625
0.0245,0.6806640625,5.125,-5.1650390625
0.025,1.921875,4.2041015625,-5.5654296875
0.0255,3.123046875,3.1630859375,-5.92578125
0.026,4.1240234375,2.08203125,-6.0859375
0.0265,4.6845703125,1.28125,-6.0859375
0.027,4.8447265625,0.5205078125,-5.8056640625
0.0275,4.884765625,-0.48046875,-5.205078125
0.028,4.8447265625,-1.5615234375,-4.32421875
0.0285,4.8447265625,-2.8828125,-3.283203125
0.029,4.724609375,-3.8837890625,-2.322265625
0.0295,4.484375,-4.64453125,-1.5615234375
0.03,3.9638671875,-5.0849609375,-0.720703125
0.0305,3.04296875,-5.4052734375,0.48046875
0.031,2.0419921875,-5.8056640625,1.8017578125
0.0315,1.0009765625,-6.0458984375,3.04296875
0.032,0.2802734375,-6.24609375,4.00390625
0.0325,-0.6005859375,-6.2861328125,4.724609375
0.033,-1.5615234375,-5.685546875,5.2451171875
0.0335,-2.9228515625,-4.64453125,5.685546875
0.034,-4.1240234375,-3.4033203125,6.005859375
0.0345,-4.884765625,-2.3623046875,6.0458984375
0.035,-5.3251953125,-1.6015625,5.9658203125
0.0355,-5.4052734375,-0.80078125,5.5654296875
0.036,-5.3251953125,0.3203125,4.724609375
0.0365,-5.3251953125,1.5615234375,3.763671875
0.037,-5.28515625,2.802734375,2.6826171875
0.0375,-5.0849609375,3.7236328125,1.76171875
0.038,-4.6845703125,4.32421875,1.0009765625
0.0385,-4.00390625,4.64453125,0.080078125
0.039,-2.962890625,4.96484375,-1.28125
0.0395,-1.8818359375,5.365234375,-2.6826171875
0.04,-0.9208984375,5.4853515625,-3.84375
0.0405,-0.240234375,5.60546875,-4.6845703125
0.041,0.6806640625,5.365234375,-5.28515625
0.0415,1.8818359375,4.4443359375,-5.7255859375
0.042,3.1630859375,3.36328125,-6.0859375
0.0425,4.2841796875,2.162109375,-6.2861328125
0.043,4.9248046875,1.1611328125,-6.24609375
0.0435,5.1650390625,0.4404296875,-6.0458984375
0.044,5.125,-0.560546875,-5.4453125
0.0445,5.044921875,-1.76171875,-4.404296875
0.045,5.0048828125,-3.04296875,-3.3232421875
0.0455,4.8447265625,-4.1640625,-2.2421875
0.046,4.6044921875,-4.96484375,-1.4013671875
0.0465,4.083984375,-5.4052734375,-0.6005859375
0.047,3.1630859375,-5.685546875,0.560546875
0.0475,2.0419921875,-6.005859375,1.9619140625
0.048,0.8408203125,-6.24609375,3.36328125
0.0485,0.0,-6.40625,4.32421875
0.049,-0.7607421875,-6.4462890625,5.0849609375
0.0495,-1.76171875,-5.8857421875,5.5654296875
0.05,-3.123046875,-4.64453125,6.0458984375
0.0505,-4.3642578125,-3.443359375,6.326171875
0.051,-5.3251953125,-2.2421875,6.326171875
0.0515,-5.765625,-1.3212890625,6.2060546875
0.052,-5.8056640625,-0.5205078125,5.7255859375
0.0525,-5.7255859375,0.6005859375,4.9248046875
0.053,-5.60546875,1.921875,3.763671875
0.0535,-5.4853515625,3.283203125,2.5224609375
0.054,-5.205078125,4.2841796875,1.521484375
0.0545,-4.8447265625,4.8447265625,0.6806640625
0.055,-4.083984375,5.1650390625,-0.3203125
0.0555,-2.8427734375,5.365234375,-1.6416015625
0.056,-1.6416015625,5.685546875,-3.1630859375
0.0565,-0.5205078125,5.7255859375,-4.4443359375
0.057,0.3203125,5.765625,-5.2451171875
0.0575,1.041015625,5.5654296875,-5.845703125
0.058,2.2021484375,4.724609375,-6.24609375
0.0585,3.6435546875,3.36328125,-6.56640625
0.059,4.8046875,2.0419921875,-6.7265625
0.0595,5.4853515625,0.880859375,-6.56640625
0.06,5.7255859375,0.1201171875,-6.326171875
0.0605,5.60546875,-0.9208984375,-5.6455078125
0.061,5.4052734375,-2.1220703125,-4.484375
0.0615,5.2451171875,-3.5234375,-3.2431640625
0.062,5.044921875,-4.7646484375,-2.001953125
0.0625,4.724609375,-5.525390625,-1.041015625
0.063,4.1640625,-6.005859375,-0.2802734375
0.0635,3.2431640625,-6.166015625,0.8408203125
0.064,1.8818359375,-6.3662109375,2.322265625
0.0645,0.560546875,-6.56640625,3.84375
0.065,-0.5205078125,-6.56640625,4.884765625
0.0655,-1.2412109375,-6.6064453125,5.60546875
0.066,-2.08203125,-6.0458984375,6.0859375
0.0665,-3.4833984375,-4.8447265625,6.4462890625
0.067,-4.7646484375,-3.4833984375,6.6865234375
0.0675,-5.765625,-2.1220703125,6.6865234375
0.068,-6.24609375,-1.12109375,6.486328125
0.0685,-6.2861328125,-0.3203125,6.0458984375
0.069,-6.0859375,0.80078125,5.205078125
0.0695,-5.845703125,2.162109375,3.8837890625
0.07,-5.685546875,3.5234375,2.5625
0.0705,-5.365234375,4.6044921875,1.4013671875
0.071,-4.9248046875,5.2451171875,0.5205078125
0.0715,-4.2041015625,5.525390625,-0.48046875
0.072,-3.04296875,5.6455078125,-1.6416015625
0.0725,-1.681640625,5.8857421875,-3.203125
0.073,-0.3603515625,5.8857421875,-4.64453125
0.0735,0.560546875,5.8857421875,-5.4853515625
0.074,1.201171875,5.8056640625,-6.0859375
0.0745,2.2421875,5.044921875,-6.4462890625
0.075,3.6435546875,3.6435546875,-6.7265625
0.0755,4.8447265625,2.2822265625,-6.9267578125
0.076,5.685546875,0.9609375,-6.806640625
0.0765,5.9658203125,0.1201171875,-6.5263671875
0.077,5.8857421875,-0.880859375,-5.92578125
0.0775,5.6455078125,-1.9619140625,-4.9248046875
0.078,5.4453125,-3.3232421875,-3.603515625
0.0785,5.205078125,-4.6845703125,-2.2822265625
0.079,4.8447265625,-5.60546875,-1.201171875
0.0795,4.404296875,-6.1259765625,-0.3603515625
0.08,3.5234375,-6.2861328125,0.640625
0.0805,2.2021484375,-6.4462890625,2.0419921875
0.081,0.880859375,-6.6865234375,3.5634765625
0.0815,-0.48046875,-6.6865234375,4.7646484375
0.082,-1.1611328125,-6.646484375,5.5654296875
0.0825,-1.8818359375,-6.3662109375,6.0859375
0.083,-2.962890625,-5.4052734375,6.4462890625
0.0835,-4.4443359375,-3.9638671875,6.6865234375
0.084,-5.5654296875,-2.5625,6.7666015625
0.0845,-6.166015625,-1.361328125,6.56640625
0.085,-6.3662109375,-0.5205078125,6.24609375
0.0855,-6.24609375,0.48046875,5.5654296875
0.086,-5.9658203125,1.7216796875,4.3642578125
0.0865,-5.8056640625,3.0830078125,3.0830078125
0.087,-5.525390625,4.32421875,1.8017578125
0.0875,-5.1650390625,5.0849609375,0.8408203125
0.088,-4.564453125,5.4853515625,0.0
0.0885,-3.5634765625,5.60546875,-1.12109375
0.089,-2.2021484375,5.8056640625,-2.6025390625
0.0895,-0.9208984375,5.9658203125,-4.1640625
0.09,0.2802734375,5.9658203125,-5.1650390625
0.0905,0.9208984375,5.9658203125,-5.92578125
0.091,1.8017578125,5.4052734375,-6.3662109375
0.0915,3.123046875,4.1640625,-6.6865234375
0.092,4.4443359375,2.8427734375,-6.9267578125
0.0925,5.4052734375,1.4814453125,-6.9267578125
0.093,5.92578125,0.4404296875,-6.6865234375
0.0935,5.9658203125,-0.5205078125,-6.24609375
0.094,5.765625,-1.4814453125,-5.4052734375
0.0945,5.5654296875,-2.802734375,-4.1240234375
0.095,5.365234375,-4.244140625,-2.7626953125
0.0955,5.0849609375,-5.3251953125,-1.6015625
0.096,4.6044921875,-5.9658203125,-0.640625
0.0965,3.9638671875,-6.3662109375,0.2802734375
0.097,2.7626953125,-6.486328125,1.44140625
0.0975,1.361328125,-6.7265625,3.0029296875
0.098,0.080078125,-6.7265625,4.484375
0.0985,-0.9208984375,-6.7265625,5.4052734375
0.099,-1.6015625,-6.56640625,6.005859375
0.0995,-2.6025390625,-5.8056640625,6.40625
0.1,-4.0439453125,-4.404296875,6.6865234375
0.1005,-5.28515625,-3.0029296875,6.88671875
0.101,-6.1259765625,-1.7216796875,6.7265625
0.1015,-6.40625,-0.80078125,6.4462890625
0.102,-6.3662109375,0.16015625,5.845703125
0.1025,-6.0859375,1.28125,4.8046875
0.103,-5.845703125,2.642578125,3.4833984375
0.1035,-5.6455078125,4.00390625,2.162109375
0.104,-5.28515625,4.9248046875,1.0810546875
0.1045,-4.7646484375,5.365234375,0.240234375
0.105,-3.8837890625,5.60546875,-0.80078125
0.1055,-2.5625,5.685546875,-2.162109375
0.106,-1.28125,5.9658203125,-3.68359375
0.1065,0.0400390625,5.92578125,-4.884765625
0.107,0.7607421875,5.8857421875,-5.6455078125
0.1075,1.44140625,5.60546875,-6.1259765625
0.108,2.5224609375,4.6845703125,-6.486328125
0.1085,3.923828125,3.3232421875,-6.7666015625
0.109,5.044921875,1.921875,-6.8466796875
0.1095,5.685546875,0.7607421875,-6.646484375
0.11,5.845703125,0.0,-6.3662109375
0.1105,5.7255859375,-1.0009765625,-5.7255859375
0.111,5.4453125,-2.1220703125,-4.564453125
0.1115,5.2451171875,-3.443359375,-3.36328125
0.112,5.044921875,-4.64453125,-2.1220703125
0.1125,4.724609375,-5.4853515625,-1.1611328125
0.113,4.1640625,-5.9658203125,-0.3603515625
0.1135,3.283203125,-6.166015625,0.640625
0.114,2.0419921875,-6.2861328125,2.0419921875
0.1145,0.7607421875,-6.486328125,3.5234375
0.115,-0.3603515625,-6.4462890625,4.6044921875
0.1155,-1.0009765625,-6.56640625,5.4052734375
0.116,-1.841796875,-6.1259765625,5.8857421875
0.1165,-3.0830078125,-5.0849609375,6.24609375
0.117,-4.32421875,-3.84375,6.5263671875
0.1175,-5.4052734375,-2.5224609375,6.56640625
0.118,-5.92578125,-1.4814453125,6.40625
0.1185,-6.0859375,-0.6806640625,6.0859375
0.119,-5.9658203125,0.3203125,5.4052734375
0.1195,-5.765625,1.521484375,4.2841796875
0.12,-5.6455078125,2.8427734375,3.04296875
0.1205,-5.365234375,3.9638671875,1.921875
0.121,-5.044921875,4.6845703125,1.0009765625
0.1215,-4.4443359375,5.044921875,0.1201171875
0.122,-3.4033203125,5.28515625,-1.0009765625
0.1225,-2.2421875,5.5654296875,-2.4423828125
0.123,-0.9609375,5.685546875,-3.8837890625
0.1235,0.0,5.765625,-4.8447265625
0.124,0.640625,5.765625,-5.4853515625
0.1245,1.6015625,5.1650390625,-5.9658203125
0.125,2.8828125,4.00390625,-6.2861328125
0.1255,4.1240234375,2.7626953125,-6.5263671875
0.126,4.96484375,1.5615234375,-6.486328125
0.1265,5.4052734375,0.6806640625,-6.40625
0.127,5.4453125,-0.2001953125,-5.92578125
0.1275,5.28515625,-1.1611328125,-5.125
0.128,5.1650390625,-2.3623046875,-4.00390625
0.1285,5.044921875,-3.763671875,-2.8427734375
0.129,4.8046875,-4.7646484375,-1.841796875
0.1295,4.4443359375,-5.4052734375,-1.041015625
0.13,3.8037109375,-5.6455078125,-0.16015625
0.1305,2.72265625,-5.845703125,1.12109375
0.131,1.6015625,-6.2060546875,2.482421875
0.1315,0.4404296875,-6.2861328125,3.763671875
0.132,-0.3603515625,-6.40625,4.6044921875
0.1325,-1.12109375,-6.2861328125,5.2451171875
0.133,-2.08203125,-5.5654296875,5.7255859375
0.1335,-3.4033203125,-4.4443359375,6.0859375
0.134,-4.5244140625,-3.203125,6.24609375
0.1345,-5.28515625,-2.1220703125,6.2060546875
0.135,-5.6455078125,-1.28125,6.0859375
0.1355,-5.6455078125,-0.5205078125,5.60546875
0.136,-5.4853515625,0.6005859375,4.6845703125
0.1365,-5.4453125,1.76171875,3.68359375
0.137,-5.3251953125,3.04296875,2.5625
0.1375,-5.0849609375,3.8837890625,1.5615234375
0.138,-4.6845703125,4.5244140625,0.8408203125
0.1385,-3.9638671875,4.8447265625,0.0
0.139,-2.9228515625,5.0849609375,-1.361328125
0.1395,-1.8017578125,5.4052734375,-2.7626953125
0.14,-0.80078125,5.525390625,-3.8837890625
0.1405,0.0,5.685546875,-4.7646484375
0.141,0.80078125,5.4052734375,-5.3251953125
0.1415,1.921875,4.5244140625,-5.7255859375
0.142,3.123046875,3.4833984375,-6.1259765625
0.1425,4.1640625,2.2822265625,-6.24609375
0.143,4.8447265625,1.3212890625,-6.24609375
0.1435,5.0849609375,0.6005859375,-6.0458984375
0.144,5.0849609375,-0.3603515625,-5.4853515625
0.1445,5.0048828125,-1.44140625,-4.64453125
0.145,4.96484375,-2.72265625,-3.5634765625
0.1455,4.7646484375,-3.84375,-2.5625
0.146,4.6044921875,-4.6044921875,-1.681640625
0.1465,4.1240234375,-5.125,-0.9208984375
0.147,3.3232421875,-5.4453125,0.240234375
0.1475,2.3623046875,-5.765625,1.44140625
0.148,1.201171875,-6.005859375,2.7626953125
0.1485,0.3603515625,-6.166015625,3.8037109375
0.149,-0.400390625,-6.2861328125,4.564453125
0.1495,-1.3212890625,-5.845703125,5.125
0.15,-2.5224609375,-4.9248046875,5.5654296875
0.1505,-3.68359375,-3.84375,5.8857421875
0.151,-4.6044921875,-2.72265625,6.005859375
0.1515,-5.1650390625,-1.921875,5.9658203125
0.152,-5.3251953125,-1.1611328125,5.685546875
0.1525,-5.3251953125,-0.3203125,5.044921875
0.153,-5.28515625,0.880859375,4.2041015625
0.1535,-5.28515625,2.08203125,3.1630859375
0.154,-5.0849609375,3.1630859375,2.2421875
0.1545,-4.8447265625,3.84375,1.4814453125
0.155,-4.2841796875,4.32421875,0.640625
0.1555,-3.4033203125,4.6044921875,-0.5205078125
0.156,-2.5224609375,5.044921875,-1.76171875
0.1565,-1.4814453125,5.2451171875,-2.962890625
0.157,-0.80078125,5.4453125,-3.8837890625
0.1575,0.0400390625,5.4453125,-4.64453125
0.158,1.0009765625,4.96484375,-5.1650390625
0.1585,2.2021484375,4.00390625,-5.60546875
0.159,3.3232421875,2.962890625,-5.8857421875
0.1595,4.1240234375,1.921875,-5.9658203125
0.16,4.6044921875,1.2412109375,-5.9658203125
0.1605,4.8046875,0.4404296875,-5.6455078125
0.161,4.8046875,-0.640625,-5.0048828125
0.1615,4.8046875,-1.7216796875,-4.244140625
0.162,4.8046875,-2.8828125,-3.203125
0.1625,4.64453125,-3.8037109375,-2.3623046875
0.163,4.4443359375,-4.5244140625,-1.6015625
0.1635,3.84375,-5.0048828125,-0.720703125
0.164,3.0029296875,-5.4052734375,0.560546875
0.1645,2.001953125,-5.765625,1.841796875
0.165,1.0810546875,-5.9658203125,2.962890625
0.1655,0.400390625,-6.24609375,3.84375
0.166,-0.560546875,-6.0859375,4.6044921875
0.1665,-1.6416015625,-5.4052734375,5.0849609375
0.167,-2.8828125,-4.4443359375,5.5654296875
0.1675,-3.9638671875,-3.36328125,5.8056640625
0.168,-4.6845703125,-2.40234375,5.8857421875
0.1685,-5.125,-1.681640625,5.8056640625
0.169,-5.205078125,-0.9208984375,5.365234375
0.1695,-5.205078125,0.240234375,4.564453125
0.17,-5.2451171875,1.4814453125,3.68359375
0.1705,-5.1650390625,2.6025390625,2.72265625
0.171,-5.0048828125,3.5234375,1.921875
0.1715,-4.6044921875,4.083984375,1.0810546875
0.172,-3.84375,4.4443359375,0.080078125
0.1725,-2.962890625,4.9248046875,-1.2412109375
0.173,-1.921875,5.205078125,-2.5625
0.1735,-1.12109375,5.4052734375,-3.603515625
0.174,-0.3603515625,5.525390625,-4.4443359375
0.1745,0.640625,5.125,-5.044921875
0.175,1.8818359375,4.2841796875,-5.4853515625
0.1755,3.04296875,3.203125,-5.8857421875
0.176,4.00390625,2.162109375,-6.005859375
0.1765,4.6044921875,1.28125,-6.0458984375
0.177,4.8046875,0.5205078125,-5.765625
0.1775,4.8046875,-0.5205078125,-5.1650390625
0.178,4.8447265625,-1.6015625,-4.32421875
0.1785,4.8046875,-2.8427734375,-3.283203125
0.179,4.724609375,-3.8837890625,-2.322265625
0.1795,4.484375,-4.64453125,-1.5615234375
0.18,3.923828125,-5.0849609375,-0.6806640625
0.1805,3.04296875,-5.4052734375,0.5205078125
0.181,2.0419921875,-5.8056640625,1.841796875
0.1815,1.0009765625,-6.005859375,3.04296875
0.182,0.2802734375,-6.2861328125,4.0439453125
0.1825,-0.640625,-6.166015625,4.7646484375
0.183,-1.6416015625,-5.525390625,5.28515625
0.1835,-2.962890625,-4.5244140625,5.7255859375
